colour,ctype,effect,flavour,id,instants,memory,prompt,set,title
yellow,thought,Stress caused by a Thought or Neurosis is considered Sequence Stress. Intuited— a Traveler Stresses 2.,Surp-RISE!!!,Backlash!,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Backlash!
yellow,thought,A Traveler Stresses 2. Draw a card.,Today there is no dilemma!,Beelzebubs_Birthday,5,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Beelzebub's Birthday"
yellow,thought,"Fluid 1-3. Intuit a Thought from your hand with Duration 3 or less. If you do, draw a card.","What's in the box? —This fool's last words.",Expect_The_Unexpected!,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Expect the Unexpected!
yellow,thought,Reverse the Sequence.,From the sky came three words.,La_Mano_De_Dios,5,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,La Mano de Dios
yellow,thought,"Reveal one by one any amount of Thoughts from the top of your Future. If their total Duration is 6 or less, Intuit them in any order.",Beyond lies another beyond. (Here.),Nether_Portal,6,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Nether Portal
yellow,thought,,The material expression of Infinitude.,Omegas_Desert,4,Sequence Stress is doubled.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Omega's Desert"
yellow,thought,Stress any amount. Skip that amount.,Alehop!,Reckless_Leap,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Reckless Leap
yellow,thought,Chainer. Return a Thought you control to your hand: draw 1. Put a Thought from your hand on top of your Future.,"Light, in time, becomes will to power.",Rerouting_Trick,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Rerouting Trick
yellow,thought,Search your Future for up to two Thoughts. Reveal them. An opponent chooses one. Put the chosen Thought on the bottom of your Future and the other on top.,Void knows when we shall meet again!,Misreunion_In_The_Unknown,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Misreunion in the Unknown
yellow,neurotic,Neurotic. Connects— a Traveler Stresses X where X is the amount of Thoughts you control.,We are pure. (Pure evil.),Sisters_Interlinked,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Sisters Interlinked
yellow,thought,Intuited— draw a card.,Zzzzz.,Sleeping_Pill,3,,Prompt: © G. Cilleruelo Calderón,Ω Omega ??/87,Sleeping Pill
yellow,chainer,Chainer. A Traveler Stresses 2.,Brwooom!,Sudden_Mercurial,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Sudden Mercurial
yellow,chainer,"Chainer. If this card Chains the third Sequence, a Traveler will Fold as soon as they can.","Stabbed by air, bleeding suffocation.",Swooning_At_Nihil,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Swooning at Nihil
yellow,chainer,"Chainer. If Chained, you choose the dice positions.",It will be thus!,The_Emperors_Command,9,"If the die should be rolled, you choose their positions instead.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"The Emperor's Command"
yellow,thought,"Fluid 1-3. If The Gift of an A Priori closes the Sequence, a Traveler Stresses X where X is the instants filled by The Gift of an A Priori. This Stress is considered Sequence Stress.",Time is only the form of our misadventure.,The_Gift_Of_An_A_Priori,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,The Gift of an A Priori
yellow,thought,"Choose one: a Traveler Stresses 2; or return a Thought to its owner's hand; or Skip 3.",A question of time immemorial.,The_Three_Dilemmas_Of_Beelzebub,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,The Three Dilemmas of Beelzebub
yellow,chainer,Chainer. Move a Thought to the very beginning of the Sequence.,"He flew miles and miles away, days and days, screaming, crying, until he circled the whole globe.",Thunderkick!,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Thunderkick!
yellow,thought,"Reveal the top Intuition of your Subconscious. If it Lasts 3 or less, Intuit it.",They come from anywhere!,Transcendent_Voyage,1,Forgotten— add up to 2 instants.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Transcendent Voyage
yellow,thought,Skip 2,Mesmerising.,Two-Step,2,Forgotten— a Thought Moves 2.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Two-Step
yellow,chainer,Chainer. Fluid 1-5. Sculpt 2.,"We are sharing a hot bath. I am the running water, you are the bubbles.",Unit_Gizmo_Self,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Unit Gizmo Self
blue,thought,"Choose a reasonable effect. Propose it to an opponent. If they agree, do that effect and each opponent Relaxes 2.",Eccoli qua!,A_Wizards_Affair,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"A Wizard's Affair"
blue,thought,"Forget any amount of Memories. Remember any amount of Thoughts from your hand, then draw that same amount of cards. A Traveler Stresses X where X is the amount of cards drawn this way.","Goodbye, bitter self.",Finale_Of_Melancholy,9,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Finale of Melancholy
blue,thought,"A Neurosis' base attack becomes 0, and its flavour text: 'I needed this'.",I needed this.,A_Moment_Of_Bliss,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,A Moment of Bliss
blue,thought,"Look at a Traveler's hand and choose a Thought with Duration 3 or less. That Traveler Remembers that Thought.","Today, you'll be the Dreamer's Folly, fancying itself dream.",Chimera_Inc,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Chimera I.N.C.
blue,thought,,,Ghoul_Insurrection,7,"You don't draw after the Sequence Roll. Your Memories have Neurotic . End of Sequence— Forget Ghoul Insurrection.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Ghoul Insurrection
blue,neurotic,,And at the end: the whatever being.,Desoeuvrement_Dryad,1,"Neurotic. Forgotten— if your Future is empty, you win the game.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Desoeuvrement Dryad
blue,thought,,I know a spot.,Gorudos_Lake,3,Fluid 1-5.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Gorudo's Lake"
blue,thought,X equals the amount of Memories you control. Relax X.,"It felt, maybe, too good.",Hyperrelaxation,6,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Hyperrelaxation
blue,thought,A Neurosis gains +3 defense.,See whether I care.,Indifference,1,Shield 2.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Indifference
blue,neurotic,,Venga pacá!,Mataor,3,Neurotic.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Mataor
blue,thought,"You may Remember a Thought from your hand with Duration 5 or less. If you do, draw a card.",A bit of pepper... a pinch of blood...,Memory_Mash,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Memory Mash
blue,thought,"Return a Neurosis to its owner's Cortex in any position.",It is not your fault.,Soothing_Words,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Soothing Words
yellow,thought,Skip an adjacent Thought.,"You've been superseeded.",Sublation,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Sublation
blue,chainer,Chainer. Intuit a Thought from your Memory with Duration 3 or less.,"Between us, speech is superfluous.",Telekinesis,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Telekinesis
blue,thought,Forget any amount of Memories. Search your Future for any amount of Thoughts with a total Duration of X or less and Remember them. Shuffle.,The warp breathes.,The_Hour_Of_Metempsychosis,5,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,The Hour of Metempsychosis
blue,thought,"Choose one: a Neurosis gets -2 attack or -2 defense; or return a Memory to its owner's hand; or intuit a Memory with Duration 3 or less.","When asked about her opinion on life, she said: 'mu!'",The_Illusionists_Way,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"The Illusionist's Way"
red,thought,A Neurosis in your Cortex attacks.,"Naughty, naughty boy.",Whistlestop_Rage,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Whistlestop Rage
red,thought,Put a Knuckle counter on a Neurosis.,"I'll see you outside.",Brass_Knuckles,3,Neurosis gain +1 attack for each Knuckle counter on them.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Brass Knuckles
red,thought,,Chaos begins with a choice.,Carrousel_Of_Immanence,6,"Neurose can't be blocked.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Carrousel of Immanence
red,thought,A Traveler may Forget any amount of Memories. That Traveler Stresses 4 minus the amount of Memories they Forgot this way.,"Dream on, little one, the Sleep-Paralysis Demon is on its way.",Extract_Memories,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Extract Memories
red,neurotic,Neurotic.,Welcome to my crib.,Landlord_From_The_Underworld,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Landlord from the Underworld
red,neurotic,"Neurotic. Connects— Move a Memory on top of its owner's Future.",I was never really here.,Late_Night_Interloper,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Late Night Interloper
red,thought,Remove a Neurosis you control. A Traveler Stresses 6.,"I hesitate. Yet, I will abide.",Painful_Repentment,5,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Painful Repentment
blue,thought,Relax 1.,Real nice.,Jacuzzi,3,"Forgotten— return a Memory with Duration 3 or less to its owner's hand.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Jacuzzi
red,thought,A Traveler Forgets a Memory.,"A traveler is, in essence, longing and its immediate negation.",Start_Anew,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Start Anew
red,trauma,Trauma. Swap two Neurose.,We did not return the same.,Teleport!,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Teleport!
